Nazwisko aktualne,Liczba
ROESKE,132
RUM,132
RZECHUŁA,132
SCHMITT,132
SIEDLARSKA,132
SIEKIERKOWSKA,132
SOBIEWSKA,132
SPYCH,132
STAMIROWSKA,132
STĄCZEK,132
STRAŚ,132
STROCZYŃSKA,132
STRZEMPEK,132
STUSEK,132
SURMAJ,132
SUSEŁ,132
SYDOW,132
SYRYCA,132
SZARAMA,132
SZARAWARA,132
SZCZYPIOROWSKA,132
SZEPTUCH,132
SZRAJER,132
SZULICH,132
SZUMIERZ,132
SZWAN,132
ŚWIETLIŃSKA,132
ŚWISTUN,132
TATOJ,132
TOM,132
TRUSKOLAWSKA,132
TUROSTOWSKA,132
USIŃSKA,132
WALCZYKIEWICZ,132
WANATOWSKA,132
WANIELISTA,132
WARCZACHOWSKA,132
WERBLIŃSKA,132
WIADROWSKA,132
WIŚLICKA,132
WLAŹLIK,132
WOJDANOWSKA,132
ZACHARJASZ,132
ZGARDZIŃSKA,132
ZIENOWICZ,132
ZIENTALA,132
ZWĘGLIŃSKA,132
AKSMAN,131
AMROGOWICZ,131
ANGERMAN,131
ARONOWSKA,131
BAŁECKA,131
BARNAK,131
BAROWICZ,131
BERNAL,131
BISKO,131
BISKUPIAK,131
BISZ,131
BŁATOŃ,131
BOJKA,131
BONALSKA,131
BRUDEREK,131
BRUZDEWICZ,131
CHOŁDA,131
CHOŁODOWSKA,131
CHOMSKA,131
CIOTA,131
CYZ,131
CZAPIK,131
CZEREP,131
CZOPKO,131
DERNOGA,131
DRABKOWSKA,131
DRONKA,131
DROŻNIAK,131
DRYŃKOWSKA,131
DYRLA,131
DZIEŻYC,131
DZIWISZEK,131
FERUGA,131
FILCEK,131
FIRAZA,131
FLEJTERSKA,131
FLICIŃSKA,131
GANCARSKA,131
GEFERT,131
GIERASIMOWICZ,131
GŁYDA,131
GOGOŁEK,131
GRZECHOWSKA,131
GWORYS,131
HARAZIŃSKA,131
HŁYWA,131
HUMSKA,131
JANAWA,131
JEDWABNA,131
KABAJ,131
KAPRZYK,131
KATKOWSKA,131
KAŹMIERAK,131
KIERDELEWICZ,131
KLAUSE,131
KOBLAK,131
KONARCZAK,131
KONDERLA,131
KONSTANCIUK,131
KOROŚCIK,131
KORZAŃSKA,131
KOSIELSKA,131
KOSZOŁKO,131
KUKURENDA,131
KULASIEWICZ,131
KWASIK,131
LAWRENZ,131
LENKOWSKA,131
LEŃCZYK,131
LETNIOWSKA,131
LIWERSKA,131
ŁANKIEWICZ,131
ŁAPIAK,131
ŁASTOWIECKA,131
ŁAZORKO,131
ŁUCKOŚ,131
MACHOCZEK,131
MACIUBA,131
MAKSYMIEC,131
MALANKOWSKA,131
MAŁKO,131
MARTYS,131
MAZGAJSKA,131
MEHRING,131
MIASTOWSKA,131
MICHAŁUSZKO,131
MICHURSKA,131
MIĘTKOWSKA,131
MOKRA,131
MOTŁAWSKA,131
MURGLIN,131
MURYN,131
NASKRENT,131
NICOŚ,131
OLASIK,131
OMELANIUK,131
ORLEWICZ,131
OSTÓJ,131
OŚKIEWICZ,131
OŹMINKOWSKA,131
PABISZCZAK,131
PASSON,131
PAWŁOW,131
PERYKASZA,131
PETROVSKA,131
PETRYNIAK,131
PLICHA,131
PŁOCHARZ,131
PODLIPSKA,131
POGOŃSKA,131
PONIEWIERA,131
POPRAWKA,131
PRANSZKE,131
PREKIEL,131
PROKOPCHUK,131
PRZEGENDZA,131
PTASIK,131
PYSZNIK,131
RADZAJEWSKA,131
RADZIWIŁŁ,131
REDES,131
REKSA,131
RESZUTA,131
ROCHALA,131
ROZWARSKA,131
RÓŻYK,131
RULIŃSKA,131
RYTER,131
RYŻEK,131
SABO,131
SAJAN,131
SAMBOROWSKA,131
SAMOSIUK,131
SCHMID,131
SELERSKA,131
SIERUTA,131
SKOTOWSKA,131
SKRABALAK,131
SŁODOWICZ,131
SMOLEWSKA,131
SOBSTEL,131
SOLOVIOVA,131
SROŚLAK,131
STANISŁAWOWSKA,131
STOCZYŃSKA,131
STROMCZYŃSKA,131
STRYSZYK,131
STYRC,131
SULGOSTOWSKA,131
SYLWESTROWICZ,131
SZARF,131
SZKLINIARZ,131
SZMIGIERO,131
SZPOJDA,131
SZUMA,131
SZUMLAK,131
SZWABOWSKA,131
SZWANKE,131
SZYBOWICZ,131
SZYLUK,131
TASAREK,131
TOMKALSKA,131
TYMKIEWICZ,131
UBOWSKA,131
UL,131
URBACKA,131
WALISZEK,131
WANTA,131
WAWRZECZKO,131
WĄSIKIEWICZ,131
WEŁNOWSKA,131
WĘGLERSKA,131
WIJA,131
ZAMIELA,131
ZIELEWICZ,131
ZIEMAN,131
ABRAHAMOWICZ,130
ALEKSIEJEW,130
ARAŚNIEWICZ,130
AUGUSTYNIK,130
BAT,130
BRACICHOWICZ,130
BRANDEBURA,130
BUBEŁA,130
BURDECKA,130
BURNUS,130
BUZE,130
CECELSKA,130
CEKLARZ,130
CHIMKOWSKA,130
CHRZEŚCIJAŃSKA,130
CIECHORSKA,130
CIECIAK,130
CIELESZ,130
CIEMIECKA,130
CIEPIENIAK,130
CISŁOWSKA,130
CYRANKA,130
CZOGALIK,130
DAŃCZYSZYN,130
DAVYDENKO,130
DIDUSZKO,130
DOŁASIŃSKA,130
DORN,130
DRUBKOWSKA,130
DUKIELSKA,130
DYNDAŁ,130
DZIACHAN,130
DZIADUL,130
DZIURMAN,130
FENGER,130
FERTYKOWSKA,130
FILLA,130
FLORECKA,130
FRYZE,130
GAJUR,130
GARDIASZ,130
GIELNIOWSKA,130
GOLJANEK,130
GORYCZKO,130
GRZEGORCZYN,130
GRZĘDOWSKA,130
GUDZOWSKA,130
GWIT,130
HAMULSKA,130
JAMUŁA,130
JĘDROS,130
JUJECZKA,130
JURDECZKA,130
JURGOWIAK,130
KALISZAK,130
KAMAĆ,130
KARPICKA,130
KAUFMANN,130
KEMSKA,130
KIEŁBIŃSKA,130
KIZIOR,130
KŁUS,130
KNOL,130
KOCIELA,130
KOCIMA,130
KORDACZUK,130
KOSYTORZ,130
KOTYŁA,130
KOWEJSZA,130
KROM,130
KRYJ,130
KSIĄDZYNA,130
KUBATY,130
KUNIEC,130
LÊ,130
LEGENZA,130
LEKSY,130
LEVCHUK,130
LUBACZ,130
ŁAPKO,130
MAKSYMENKO,130
MASZNER,130
MONCZAK,130
MONTEWKA,130
NAWA,130
NAWOTCZYŃSKA,130
NIEŻURAWSKA,130
OPOŃ,130
OPRZĘDEK,130
OŚLAK,130
PALIŚ,130
PATERA,130
PĘKOWSKA,130
PILIPIUK,130
PINIEWSKA,130
PISKUNOWICZ,130
PIWKA,130
PODEJMA,130
PORTALSKA,130
PROCKA,130
ROSZUK,130
RÓŻOWICZ,130
SANOK,130
SAPIKOWSKA,130
SEGDA,130
SENDERECKA,130
SEWERYNEK,130
SKIERŚ,130
SŁAWĘCKA,130
SMĘDER,130
STĘŻALSKA,130
STOCHMIAŁEK,130
STRĄCZEWSKA,130
SWORA,130
SYDORUK,130
SZCZAKOWSKA,130
SZLACHCIAK,130
SZNYCER,130
SZPEK,130
SZUMIEL,130
SZWALA,130
SZYDEŁ,130
SZYFER,130
ŚLUZEK,130
ŚRÓDECKA,130
TADROWSKA,130
TELEJ,130
TENDAJ,130
TOBÓR,130
TRETIAK,130
TRUBIŁOWICZ,130
TRZĘSIMIECH,130
TURA,130
TYBLEWSKA,130
TYMOSIEWICZ,130
URSZULAK,130
WALBURG,130
WALEWICZ,130
WERDA,130
WICHMAN,130
WIECIECH,130
WIERZELEWSKA,130
WIERZYŃSKA,130
WILKOWIECKA,130
WINECKA,130
WINSZTAL,130
WOLSZLEGIER,130
WOŁOSIAK,130
WOZOWICZ,130
WSZELAK,130
ZAJ,130
ZAWLIK,130
ZELLER,130
ZONENBERG,130
ŻELEŹNICKA,130
ANDRECKA,129
ANTOCHÓW,129
BABUŚKA,129
BACZMAŃSKA,129
BAŁTOWSKA,129
BAŁUCKA,129
BARBAREWICZ,129
BĄCALSKA,129
BINIEWICZ,129
BŁACHNO,129
BROMBLIK,129
BUBIEŃ,129
BUBIK,129
BUCHLA,129
BUDZIŁEK,129
BURNO,129
BUSZCZAK,129
CEMBROWSKA,129
CHŁANDA,129
CIOŁKIEWICZ,129
CIWONIUK,129
CMIEL,129
CYTARZYŃSKA,129
CYWONIUK,129
CZEKAN,129
CZEREDYS,129
CZYŻYKIEWICZ,129
DARDAS,129
DEPTAŁA,129
DMITROWSKA,129
DOLIBÓG,129
DORDA,129
DRAMSKA,129
DRECZKOWSKA,129
DULBA,129
DZIURDZIAK,129
EGIERT,129
FERCHO,129
FOSZCZYŃSKA,129
FRASIK,129
FRYZEŁ,129
GAICKA,129
GAŁAŻYN,129
GAMALCZYK,129
GARCON,129
GĘSIKIEWICZ,129
GIEDZIUN,129
GIERMAKOWSKA,129
GLIJER,129
GŁODNA,129
GOCAL,129
GOCMAN,129
GOGŁOZA,129
GORAZDOWSKA,129
GOREK,129
GOWARZEWSKA,129
GÓRNIKIEWICZ,129
GRAMALA,129
GREINERT,129
GRZYŚKA,129
GRZYWNIAK,129
GZIUT,129
HAŁADUDA,129
HEJNE,129
HENDRYCH,129
HOLEK,129
HOŁUBEK,129
HOPEK,129
HULA,129
IGNACEK,129
IMAŃSKA,129
JAGODZIK,129
JAMES,129
KASTNER,129
KĘDRAK,129
KOCZNUR,129
KOLCZAK,129
KOLOMPAR,129
KORLAK,129
KORPACZ,129
KORZYSTKA,129
KOWALCZYKIEWICZ,129
KROBSKA,129
KUCIK,129
KULLA,129
KUNKOWSKA,129
KURZA,129
KWIDZINSKA,129
LAKSANDER,129
LEWOSIŃSKA,129
LICAU,129
LICZBERSKA,129
LINGO,129
ŁAJCA,129
ŁAZEWSKA,129
ŁĄGIEWCZYK,129
ŁUKOWIEC,129
ŁUPIEŻOWIEC,129
MACZUGOWSKA,129
MAGDALIŃSKA,129
MAKSYLEWICZ,129
MAŁODOBRA,129
MANIOS,129
MĘDRYGAŁ,129
MIARCZYŃSKA,129
MIĘGOĆ,129
MIKINKA,129
MILSKA,129
MISCH,129
MŁYNKOWIAK,129
MOKRZECKA,129
MOLEWSKA,129
MOŻUCH,129
MROCHEŃ,129
MYSIURA,129
NAROJEK,129
NERLO,129
NIEBOREK,129
OBUCH,129
ODÓJ,129
OKULICZ,129
ORPIK,129
ORSZTYNOWICZ,129
OTLIK,129
PASIEK,129
PERSSON,129
PERŻYŁO,129
PĘKAL,129
PIEJEK,129
PIGIEL,129
PIOTROWSKI,129
PITRUS,129
PŁÓKARZ,129
POKROP,129
POKROPSKA,129
POLIAKOVA,129
POPĘDA,129
POROSŁO,129
RAPITA,129
RASZKE,129
RASZYŃSKA,129
ROŻNIAKOWSKA,129
RUTKOWSKI,129
RZEPPA,129
SAKIEWICZ,129
SALETA,129
SEREDNICKA,129
SKAŁBA,129
SKŁADZIEŃ,129
SKÓRNIEWSKA,129
SMAŚ,129
SMĘDA,129
STERCZYŃSKA,129
SUROWA,129
SYGIET,129
SYLKA,129
SZASZKIEWICZ,129
SZEBESTA,129
SZUMAL,129
SZYNDLAR,129
ŚWIECHOWICZ,129
TEODORSKA,129
TŁUSTOCHOWICZ,129
TOLL,129
TRAŁA,129
TRZCIELIŃSKA,129
WACHACZYK,129
WALENDZEWICZ,129
WERBICKA,129
WITASZAK,129
WOJS,129
WYPARŁO,129
ZASTAWNIK,129
ZAWISZ,129
ZELMA,129
ZGLEJSZEWSKA,129
ZIĄBER,129
ZIMEK,129
ŻELAŹNICKA,129
ALEKSANDRUK,128
APTACY,128
ASZKLAR,128
BACHMURA,128
BANK,128
BAŃBURSKA,128
BAUCH,128
BETKOWSKA,128
BEZLER,128
BIESOK,128
BIGOTT,128
BINCZYK,128
BOGDALSKA,128
BONDAROWICZ,128
BOYKE,128
BRAND,128
BRAWAŃSKA,128
BREJDAK,128
BRZDĘK,128
BUJDASZ,128
BUMBUL,128
BURKA,128
BUSZA,128
BUZUN,128
BUŻ,128
BYSTRZANOWSKA,128
BZDZION,128
CELIŃSKA-MYSŁAW,128
CHAT,128
CHERNENKO,128
CIERLICKA,128
CISZEWICZ,128
COFALIK,128
CWENAR,128
CZESKA,128
DĄDALSKA,128
DĘBY,128
DOBIASZ,128
DROBIEC,128
DROŃSKA,128
DWORACKA,128
DZIEDZIUL,128
FOJUCIK,128
FOLTAK,128
GAJDEROWICZ,128
GARDULSKA,128
GIBCZYŃSKA,128
GLUCH,128
GŁYŻEWSKA,128
GRAJNY,128
GRECZEK,128
GREGA,128
GRYZA,128
HABIAK,128
HALIKOWSKA,128
HOSPOD,128
HRYWNIAK,128
IWANKOWSKA,128
JABORSKA,128
JAGIELNICKA,128
JARONIEWSKA,128
JARZYNOWSKA,128
KARABELA,128
KARCZEWICZ,128
KASEJA,128
KIEBLESZ,128
KLEINOWSKA,128
KNESZ,128
KOLENKIEWICZ,128
KORDIAK,128
KORNIIENKO,128
KOSIŃ,128
KOWALIKOWSKA,128
KRECZMAN,128
KRĘCIEWSKA,128
KRIL,128
KRZYKALSKA,128
KRZYSZOWSKA,128
KRZYŚKA,128
KRZYWIK,128
KUBASA,128
KUCZMERA,128
KUNASZYK,128
LANUSZNY,128
LEBOWSKA,128
LEITGEBER,128
LELENIEWSKA,128
LENGA,128
LEŻUCH,128
LORYŚ,128
ŁABANOWICZ,128
ŁADYGA,128
ŁANDA,128
MAICHER,128
MAKARCZUK,128
MAKLAKIEWICZ,128
MALISZKIEWICZ,128
MANEK,128
MANIARA,128
MARZECKA,128
MASŁOCHA,128
MĄKOL,128
MERYK,128
MĘCZKOWSKA,128
MIĘTKIEWSKA,128
MIŁUCH,128
MOORE,128
MYSIŃSKA,128
NIEDBALEC,128
NIEMASZYK,128
NIEWIDOK,128
NYKS,128
OCHELSKA,128
OLOBRY,128
OPAR,128
ORŁOW,128
PABIASZ,128
PACHUCY,128
PALION,128
PARAS,128
PARCZYK,128
PATYCKA,128
PAWŁASEK,128
PELEC,128
PIECHOCZEK,128
PŁAWNY,128
PŁUGOWSKA,128
POCZEKAJ,128
POLANEK,128
POSIEWAŁA,128
PROSKE,128
PRYŁOWSKA,128
PRZESZŁOWSKA,128
PUFAL,128
PYSSA,128
RABCEWICZ,128
RABINIAK,128
REDUCHA,128
REIMAN,128
ROSŁANOWSKA,128
RZADKOWOLSKA,128
SAJUR,128
SEPCZYŃSKA,128
SIEJK,128
SIEMIENIUCH,128
SIWARSKA,128
SKÓRCZEWSKA,128
SKRĘTKOWSKA,128
SKUT,128
SMUL,128
SPIECHOWICZ,128
SPODAR,128
STOCHNIAŁEK,128
SZACIŁŁO,128
SZADO,128
SZKALSKA,128
SZLACHTOWICZ,128
SZMATLOCH,128
SZYMAŚ,128
SZYMERSKA,128
ŚWIATLAK,128
ŚWIERŻYŃSKA,128
TOBIAŃSKA,128
TRĘBACKA,128
UKLEJEWSKA,128
UMIĘCKA,128
UNISZEWSKA,128
WALĘDZIK,128
WANAGO,128
WANATOWICZ,128
WARCZYGŁOWA,128
WAWRZYNIECKA,128
WIECHNO,128
YOUNG,128
ZABIJAK,128
ZAJUSZ,128
ZAŁOMSKA,128
ZAMOŻNIEWICZ,128
ZASIEWSKA,128
ZAWIESKA,128
ZŁAMANIEC,128
ZULEWSKA,128
ZYGMUNCIAK,128
ADASZKIEWICZ,127
BARTCZUK,127
BEBKO,127
BECHER,127
BEIER,127
BEKIESZ,127
BELICZYŃSKA,127
BERESTECKA,127
BIERUTA,127
BISTRAM,127
BODECKA,127
BRANDEBURG,127
BYDŁOWSKA,127
BZOMA,127
CEREKWICKA,127
CHERKOWSKA,127
CHODOROWICZ,127
CIEMCIOCH,127
CIMOSZKO,127
CZARNOJAN,127
CZARNOTTA,127
CZWARTOSZ,127
DEŃCA,127
DERDAK,127
DŁONIAK,127
DOBBEK,127
DOMANUS,127
DUDAS,127
DWORNIAK,127
FALEŃCZYK,127
FORYSZEWSKA,127
FRONCKIEWICZ,127
GALBAS,127
GARDEŁA,127
GIELETA,127
GIERKA,127
GOLASIK,127
GORĄCY,127
GRYSIEWICZ,127
GUŁAJ,127
GURZĘDA,127
GWOZDOWSKA,127
HART,127
HOMENDA,127
HOSTYŃSKA,127
HUMMEL,127
HYPIAK,127
JANUŁA,127
JAROSZCZYK,127
JĘDRCZAK,127
JUŹWIN,127
KALWAJTYS,127
KAPŁOŃSKA,127
KLEKOTKA,127
KLIMPEL,127
KŁYSZEWSKA,127
KNEZ,127
KOCZYWĄS,127
KOŁCON,127
KORZEŃSKA,127
KOSUDA,127
KOSZELNIK,127
KREJ,127
KROMP,127
KRÓLASIK,127
KRUPIAK,127
KRZYŻKOWSKA,127
KŚCIUCZYK,127
KULHAWIK,127
KULWAS,127
KURLIT,127
KUZIEMKOWSKA,127
KWIECIAK,127
LAKS,127
LAWENDOWSKA,127
LEBICA,127
LENTAS,127
LIWOSZ,127
ŁADAK,127
MACHIŃSKA,127
MAKSIMCZUK,127
MAŁASZUK,127
MARCHAJ,127
MAREL,127
MAS,127
MAŚNIK,127
MATVIIENKO,127
MAZURAK,127
MENTEK,127
MIC,127
MICHÓR,127
MODZELAN,127
MORUŚ,127
MROCHEN,127
MUCHOWICZ,127
MYKHAILIUK,127
NACZKE,127
NADWORSKA,127
NAGALSKA,127
NAWRATH,127
NIESLER,127
NIESYT,127
NIEŚCIERUK,127
NIKOŃCZUK,127
OBORA,127
OLEKSZYK,127
ORLEAŃSKA,127
PANCHYRZ,127
PASYMOWSKA,127
PAWLUSIAK,127
PHAN,127
PIETRANIS,127
PISTOR,127
PITRA,127
PODWIŃSKA,127
POGORZAŁEK,127
POKUCIŃSKA,127
POLK,127
PRES,127
PRUCZKOWSKA,127
PRZYBOJEWSKA,127
PURSKA,127
PYT,127
RAPP,127
REBELSKA,127
REICHELT,127
REKUCKA,127
REMIASZ,127
REMIORZ,127
RENN,127
REUTER,127
RĘKAWIK,127
ROZENTALSKA,127
RÓŻYCZKA,127
RZEWUCKA,127
SACHAREWICZ,127
SAŁKIEWICZ,127
SAPIEHA,127
SIERDZIŃSKA,127
SIMSON,127
SIUTKOWSKA,127
SŁAPIŃSKA,127
STOŁECKA,127
STUBE,127
SZEMBORSKA,127
SZMYTKE,127
SZPADZIK,127
SZWAT,127
TARCZYKOWSKA,127
TĄTA,127
TEŚLUK,127
TROJAKOWSKA,127
TUSTANOWSKA,127
TYSZEWSKA,127
USTOWSKA,127
WAJLER,127
WIĄZEK,127
WIERZEJEWSKA,127
WINDORPSKA,127
WOLAREK,127
WYBRAŃCZYK,127
WYLOTEK,127
WYSKWAR,127
YILDIRIM,127
ZIEMIAŃCZYK,127
ZIENKOWICZ,127
ZIĘBOWICZ,127
ZŁOTORZYŃSKA,127
ŻELAZNOWSKA,127
ŻERDKA,127
ANDERWALD,126
ARTYMIUK,126
ATRAS,126
BAMBER,126
BECHCIŃSKA,126
BIEGANEK,126
BIELONKO,126
BŁĄDZIŃSKA,126
BORA,126
BORAS,126
BORZYKOWSKA,126
BUKAT,126
BUNK,126
CAJLER,126
CHINIEWICZ,126
CHUDOBIŃSKA,126
CHUDZIKOWSKA,126
CIECHOCIŃSKA,126
CIELEK,126
CZELNY,126
CZYŻYŃSKA,126
ĆWIELONG,126
DEMIR,126
DEMUTH,126
DOMOZYCH,126
DONIECKA,126
DRANIKOWSKA,126
DRZYŻDŻYK,126
DUFRAT,126
DUMKA,126
DUNAJKO,126
EDEL,126
FLIEGEL,126
FLORAS,126
FOTA,126
FRANKOWIAK,126
GALAROWICZ,126
GALOR,126
GIERKOWSKA,126
GLAPSKA,126
GLIN,126
GLITA,126
GŁUSIEC,126
GOLATOWSKA,126
GRABIK,126
GRADOMSKA,126
GROHS,126
GUĆ,126
HADYNIAK,126
HADYŃSKA,126
HANEJKO,126
HARBUT,126
HAREMSKA,126
HASA,126
HEROLD,126
HRYĆ,126
JAMROCHA,126
JANACZEK,126
JARMAKOWICZ,126
JASZKE,126
KAJKO,126
KAMCZYK,126
KAMIZELA,126
KAMOŃ,126
KAPCZUK,126
KARCHUT,126
KARŁO,126
KECZMERSKA,126
KIERSZKA,126
KILAŃSKA,126
KITTEL,126
KŁUŚ,126
KNET,126
KNIEJA,126
KOCIUBOWSKA,126
KONICZEK,126
KORCALA,126
KORCYL,126
KOSTARCZYK,126
KUMIEGA,126
KURZYNIEC,126
KUTRZEPA,126
LADACH,126
LECKA,126
LISTKIEWICZ,126
LUTKA,126
ŁAZUCHIEWICZ,126
ŁAZUR,126
ŁOBOZIAK,126
MAGUSIAK,126
MALC,126
MAŃTURZYK,126
MARAJ,126
MĄDZIK,126
MĘDYK,126
MICHAŁÓW,126
MIECHOWIECKA,126
MITA,126
MOCZULAK,126
MOKRZANOWSKA,126
MRACHACZ,126
NĘDZYŃSKA,126
NOWAŃSKA,126
OCHMANEK,126
OKOLUS,126
OKUŃSKA,126
OLSZEWICZ,126
OLSZYK,126
ONDERKA,126
ORDYS,126
OSTROWIECKA,126
PACKA,126
PAJDOSZ,126
PALLACH,126
PAPIERNIAK,126
PATUCHA,126
PAZDA,126
PEPŁOŃSKA,126
PĘCIKIEWICZ,126
PIEŚCIK,126
PIKIEWICZ,126
PITLOK,126
POBUDKIEWICZ,126
POCZYNEK,126
POTEMPSKA,126
PRZYWARTA,126
RASZ,126
ROBÓTKA,126
RODZAJ,126
RUDZIAK,126
RULEWICZ,126
RUSSO,126
RYRYCH,126
SADAJ,126
SALAMANDRA,126
SIKORRA,126
SIUDMAK,126
SKOLARCZYK,126
SŁOMNICKA,126
SOWICKA,126
SPECJAŁ,126
STEPCZUK,126
STRASZKIEWICZ,126
SURMIŃSKA,126
SZNURKOWSKA,126
SZURMAN,126
ŚWIERZOWSKA,126
TABACZUK,126
TADEJ,126
TRASKOWSKA,126
TRĘDOWICZ,126
TROKOWSKA,126
URBISZ,126
WELCZ,126
WELK,126
WĘCŁAW,126
WICENCIAK,126
WIÓREK,126
WOJSZCZYK,126
WOŹNIEWICZ,126
WYCHOWSKA,126
WYRĄBKIEWICZ,126
ZADOROZHNA,126
ZALEWSKI,126
ZAMECKA,126
ZASUWIK,126
ZATON,126
ZAWIELAK,126
ZAWOLSKA,126
ZDROWAK,126
ZWIERCAN,126
ŻACHOWSKA,126
ŻURAD,126
ANTONOVA,125
ANUSIAK,125
BADUROWICZ,125
BADYŃSKA,125
BARWAŚNA,125
BENDA,125
BESTRY,125
BRODKA,125
BYKOWICZ,125
CHAŁADAJ,125
CHODOŁA,125
CIEĆKIEWICZ,125
COMPA,125
CURYL,125
CYFRA,125
CYSARZ,125
CZASAK,125
CZYKIETA,125
ĆWIL,125
DAWCZYK,125
DĘDYS,125
DŁUBISZ,125
DOBRENKO,125
DOŁOWY,125
DUMANA,125
DUMIŃSKA,125
DYLKA,125
EBEL,125
FERENSZTAJN,125
FIJEWSKA,125
FLORYN,125
FUŁAT,125
GAMŻA,125
GEMBKA,125
GIRTLER,125
GMACHOWSKA,125
GNYCH,125
GRĄDECKA,125
GRZEJDAK,125
GRZESIKOWSKA,125
GRZESZYK,125
GUMIENIK,125
HADAS,125
HAJCZUK,125
HAMRYSZCZAK,125
HANOWSKA,125
HAUFA,125
HĘCIAK,125
HUŃKA,125
JACIUK,125
JAKUSZ-GOSTOMSKA,125
JAWNIAK,125
JEKEL,125
JĘDRECKA,125
JULKOWSKA,125
KAIK,125
KAKIET,125
KAPALSKA,125
KELLNER,125
KLAŚ,125
KOMKOWSKA,125
KONOWALIK,125
KORWIN-PIOTROWSKA,125
KOSTRUBAŁA,125
KOSTUREK,125
KOTRYCH,125
KRAWCÓW,125
KREMIEC,125
KROSZCZYŃSKA,125
KRYSZTOPA,125
KRZESIAK,125
KUFLOWSKA,125
KURYŁA,125
LACHCIK,125
LICHNOWSKA,125
LISTOS,125
ŁABAZIEWICZ,125
ŁEPIK,125
MACHOLLA,125
MAJKO,125
MAŁGORZACIAK,125
MAN,125
MAŃKUT,125
MAURY,125
MIERSKA,125
MINICKA,125
MINIEWSKA,125
MUCHOROWSKA,125
NAGAJEK,125
NIEZNAJ,125
OGRODNICZEK,125
ONIK,125
PACHECKA,125
PACHNOWSKA,125
PANTAK,125
PARANIAK,125
PARZYSZ,125
PASULA,125
PASZCZAK,125
PAWLICZUK,125
PENDZICH,125
PIELOT,125
PIERZYNKA,125
PIETRYK,125
PIŁACIK,125
PLAŻUK,125
PLEBAŃCZYK,125
PLUTKA,125
PODCZERWIŃSKA,125
PODRALSKA,125
PODZIEMSKA,125
POMICHOWSKA,125
POZIMSKA,125
PREDEL,125
PROTSENKO,125
PRUSIEWICZ,125
PUSZAKOWSKA,125
PYLYPCHUK,125
PYRZYNA,125
RAMENDA,125
REJCH,125
ROSOSIŃSKA,125
ROZPĘDZIK,125
RUD,125
RZANNA,125
SAJDYK,125
SERWACZAK,125
SHULHA,125
SIERKO,125
SIUCHNIŃSKA,125
SIUDEJA,125
SKOŁUDA,125
SŁABOŃSKA,125
SŁOPIECKA,125
SMORĄGIEWICZ,125
SOMPOLIŃSKA,125
SOPOROWSKA,125
STASIACZEK,125
SULA,125
SUPROŃ,125
SWAKOŃ,125
SYGIDUS,125
SZCZUDŁOWSKA,125
SZENDEL,125
SZOJA,125
SZREJTER,125
SZYŁKO,125
TARAZEWICZ,125
TWARDO,125
TYMPALSKA,125
TYMRAKIEWICZ,125
WACHELKA,125
WALESKA,125
WALORSKA,125
WARDEŃSKA,125
WIĘSAK,125
WILGOSZ,125
WORSZTYNOWICZ,125
WÓJKIEWICZ,125
WRZASZCZ,125
ZAGAJ,125
ZAGNIŃSKA,125
ZIMKOWSKA,125
ZIOŁEK,125
ŻARNA,125
BAĆMAGA,124
BAKINOWSKA,124
BARANCEWICZ,124
BARTUZEL,124
BEZA,124
BIELAMOWICZ,124
BIERANOWSKA,124
BOBUSIA,124
BROCŁAWIK,124
BROMBEREK,124
BRÓD,124
BRUKWICKA,124
BRZUSKIEWICZ,124
BUDZYŁA,124
BURYTA,124
BYCZKIEWICZ,124
BYLINOWSKA,124
CELEJOWSKA,124
CHARCIAREK,124
CHRABOŁ,124
CICHOWLAZ,124
CZECHOLIŃSKA,124
CZELADZKA,124
CZWOJDZIŃSKA,124
DERLACZ,124
DOBRYDNIO,124
DYCHAŁA,124
DYKO,124
DYLUS,124
DZIUBLEWSKA,124
DZYR,124
FANGRAT,124
FEDEC,124
FISZ,124
FROSIK,124
FULBISZEWSKA,124
GAJEWCZYK,124
GAŁĘZKA,124
GANDURSKA,124
GĘŚLAK,124
GILICKA,124
GLEMBIN,124
GŁADKI,124
GODALA,124
GODERSKA,124
GODUN,124
GOSTEK,124
GRZEŚLAK,124
GUZEWSKA,124
HAJNOS,124
HALERZ,124
HAŁABURA,124
HANASZ,124
HOŁOWIECKA,124
HOP,124
HRYNIAK,124
JAGIELNIK,124
JENDRYSIAK,124
JERKA,124
KELLY,124
KOJDA,124
KOŁPACZYŃSKA,124
KOMANDERA,124
KOMISARCZUK,124
KOSTERSKA,124
KOSTRZAK,124
KOSTUN,124
KOŚCIARZ,124
KOTUNIAK,124
KOTWASIŃSKA,124
KOZAN,124
KRAKA,124
KREJNER,124
KRUBA,124
KUCIARA,124
KUKIELSKA,124
KULAWSKA,124
LABY,124
LAMENTA,124
LAMPERSKA,124
LARSEN,124
LEJKO,124
LIPOWCZAN,124
ŁAZIUK,124
ŁYSZYK,124
MAISON,124
MAJEREK,124
MAMALA,124
MANTORSKA,124
MARKEFKA,124
MARSKA,124
MEDYCKA,124
MIŁOWICKA,124
MONASTERSKA,124
NAJEWSKA,124
NAKIELNA,124
NISIO,124
NOCNA,124
OKONKOWSKA,124
ORCIUCH,124
OTOMAŃSKA,124
PADOWSKA,124
PAŁUSKA,124
PARKER,124
PAWELLA,124
PAWNUK,124
